PLAYER_NAME,0 Dribbles,1 Dribble,2 Dribbles,3-6 Dribbles,7+ Dribbles
Metta World Peace_1897__1610612747,0.525,0.169,0.113,0.164,0.028
Boris Diaw_2564_San Antonio Spurs_1610612759,0.423,0.151,0.112,0.272,0.042
Roy Hibbert_201579_Los Angeles Lakers_1610612747,0.699,0.154,0.066,0.081,0
Channing Frye_101112_Orlando Magic_1610612753,0.866,0.076,0.047,0.012,0
Thabo Sefolosha_200757_Atlanta Hawks_1610612737,0.661,0.145,0.077,0.101,0.016
Festus Ezeli_203105_Golden State Warriors_1610612744,0.796,0.154,0.036,0.014,0
Trevor Booker_202344_Utah Jazz_1610612762,0.69,0.163,0.078,0.067,0.003
Anthony Morrow_201627_Oklahoma City Thunder_1610612760,0.64,0.147,0.111,0.099,0.003
Tyler Zeller_203092_Boston Celtics_1610612738,0.819,0.104,0.052,0.021,0.003
Shaun Livingston_2733_Golden State Warriors_1610612744,0.281,0.152,0.11,0.326,0.131
Cameron Payne_1626166__1610612760,0.289,0.119,0.083,0.181,0.329
Ronnie Price_101179__1610612756,0.528,0.116,0.093,0.179,0.083
Brandon Bass_101138_Los Angeles Lakers_1610612747,0.647,0.23,0.066,0.057,0
Norman Powell_1626181_Toronto Raptors_1610612761,0.428,0.148,0.127,0.245,0.052
Larry Nance Jr._1626204_Los Angeles Lakers_1610612747,0.773,0.153,0.05,0.023,0
Rondae Hollis-Jefferson_1626178_Brooklyn Nets_1610612751,0.514,0.13,0.174,0.145,0.036
Tyson Chandler_2199_Phoenix Suns_1610612756,0.834,0.118,0.032,0.016,0
Timofey Mozgov_202389_Cleveland Cavaliers_1610612739,0.827,0.098,0.045,0.028,0.003
Aron Baynes_203382_Detroit Pistons_1610612765,0.892,0.084,0.018,0.005,0
Lavoy Allen_202730_Indiana Pacers_1610612754,0.878,0.065,0.046,0.011,0
Anthony Tolliver_201229_Detroit Pistons_1610612765,0.931,0.054,0.012,0.003,0
Tim Frazier_204025__1610612740,0.166,0.105,0.109,0.297,0.323
Joakim Noah_201149_Chicago Bulls_1610612741,0.735,0.098,0.129,0.038,0
Chris McCullough_1626191_Brooklyn Nets_1610612751,0.67,0.229,0.083,0.018,0
Sasha Vujacic_2756__1610612752,0.692,0.123,0.091,0.076,0.018
Beno Udrih_2757__1610612748,0.284,0.165,0.113,0.211,0.227
JJ Hickson_201581_Washington Wizards_1610612743,0.671,0.174,0.077,0.077,0
Jonathon Simmons_203613_San Antonio Spurs_1610612759,0.402,0.141,0.166,0.199,0.091
Richaun Holmes_1626158_Philadelphia 76ers_1610612755,0.788,0.171,0.032,0.009,0
Troy Daniels_203584__1610612766,0.706,0.128,0.096,0.043,0.027
JaKarr Sampson_203960_Denver Nuggets_1610612755,0.454,0.259,0.145,0.132,0.009
Marcelo Huertas_1626273_Los Angeles Lakers_1610612747,0.239,0.13,0.161,0.213,0.257
Justin Holiday_203200__1610612741,0.538,0.147,0.147,0.147,0.022
Tyus Jones_1626145__1610612750,0.252,0.129,0.065,0.213,0.342
Anthony Brown_1626148__1610612747,0.616,0.104,0.168,0.104,0.008
Jarell Martin_1626185_Memphis Grizzlies_1610612763,0.629,0.25,0.086,0.034,0
Tiago Splitter_201168_Atlanta Hawks_1610612737,0.627,0.2,0.087,0.087,0
